German,French
Ich,je
ist,est
ich,je
nicht,Pas
Sie,elle
du,tu
das,la
die,la
es,ce
und,et
der,la
zu,à
sie,tu
Das,Ce
ein,un 
in,dans
wir,nous
Du,Tu
mir,moi
mit,Avec
Was,Quoi
den,la
mich,moi
was,Quoi
auf,sur
dass,ce
er,il
eine,une
Es,Ce
hat,A
Wir,nous
Und,et
so,alors
sind,sommes
von,de
dich,tu
war,a été
haben,avoir
für,pour
Ja,Oui
hier,ici
an,sur
habe,ont
Er,Il
bin,un m
wie,comment
noch,toujours
dir,à toi
uns,nous
sich,lui-même
Die,la
nur,seulement 
einen,un
Nein,non
dem,au
ihn,lui
auch,aussi
hast,ont
sein,être
ihr,son
da,là
aus,dehors
kann,boîte
aber,mais
Aber,mais
schon,belle
wenn,si
wird,devient
um,autour de
Wie,Comme
als,comme
bist,êtes-vous
im,dans le
mal,fois
doch,encore
gut,Bien
meine,pense
jetzt,à présent
weiß,Blanc
Wenn,si
werden,sera
Der,De la
nach,après
ja,Oui
Oh,Oh
oder,ou
dann,alors
will,vouloir
mein,ma
mehr,Suite
keine,non
etwas,quelques
alles,tout
muss,aller à
immer,toujours
nichts,Rien
man,une
wieder,encore
bei,à
hab,ont
machen,Fabriquer
vor,avant de
Mann,Homme
ihm,lui
einem,un
tun,fais
zum,au
können,être capable
sagen,dire
werde,sera
denn,alors
Ist,est
Ein,UN
Warum,Pourquoi
einer,une
gehen,marche
sehen,voir
sehr,très
geht,se rend
alle,Tout le monde
über,au dessus
müssen,devoir
diese,cette
einfach,facile
euch,tu
des,de
nie,jamais
Also,Alors
Wo,Où
los,Allez
Zeit,temps
Ihnen,Leur
gibt,sommes
wirklich,vraiment
Hey,Hé
Danke,Merci
deine,le tiens
würde,aurait
soll,cible
Da,Là
hatte,aurait
Hier,ici
wissen,à savoir
bitte,De rien
viel,beaucoup de
Dann,alors
So,Alors
gesagt,a dit
Ihr,Son
am,au
kein,non
Komm,viens
Wer,qui
zurück,revenir
wurde,est devenu
In,Dans
wollte,voulait
Frau,Femme
Leben,la vie
wäre,aurait
wo,Où
damit,pour
Nicht,Pas
Gott,Dieu
Leute,personnes
kannst,boîte
heute,aujourd'hui
meinen,pense
dieser,cette
dein,ton
kommt,vient
kommen,viens
willst,vouloir
Na,N / A
wollen,vouloir
sicher,sécurisé
ganz,tout
Jetzt,à présent
Mein,ma
Mr,M
also,alors
zur,au
Hast,Ont
Gut,Bien
hätte,aurait
weil,car
tut,Est-ce que
Hallo,Salut
Okay,D'ACCORD
macht,Puissance
waren,étaient
bis,jusqu'à
Vielleicht,Peut-être
könnte,pourrait
Eine,Une
Bitte,S'il vous plaît
weg,une façon
seine,le sien
lassen,laisser
Vater,Père
gesehen,vu
Nun,alors
gerade,juste
Alles,Tout
glaube,croire
Tag,Jour
ab,une façon
Geld,argent
gemacht,a fait
nein,non
Sir,Monsieur
sollte,devrait
sagte,a dit
keinen,non
durch,à travers
zwei,deux
diesen,cette
passiert,passé
wohl,Probablement
vielleicht,peut-être
ihre,leur
Mutter,mère
reden,parler
anderen,les autres
dachte,pensait
daß,ce
möchte,voudrais
wirst,devenir
gehört,entendu
weißt,blanche
Keine,Non
raus,Dehors
Meine,Pense
paar,peu
besser,meilleur
ob,si
her,de
musst,devoir
Ordnung,Ordre
meiner,mien
klar,dégager
ihnen,leur
Los,Allez
diesem,cette
meinem,ma
lange,Long
Lass,Laisser
dieses,cette
helfen,aider
unsere,notre
Weg,chemin
selbst,même
Nur,Seulement
finden,Trouver
Mal,Fois
jemand,quelqu'un
denke,pense
Ach,Oh
Nacht,Nuit
genau,Je suis d'accord
gar,du tout
sagt,dit
Welt,Monde
Auf,sur
Mädchen,fille
ins,dans le
hin,là
vom,du
schön,Agréable
warum,Pourquoi
weiter,plus loin
Leid,Souffrance
gleich,même
wer,qui
Man,Une
ohne,sans pour autant
Menschen,personnes
deinen,le tiens
leid,Souffrance
Wieso,comment
dort,là
Als,comme
Hause,Maison
sollten,devrait
davon,à partir de ce
zusammen,ensemble
geben,donner
Ok,D'ACCORD
Hör,Écoute
machst,Fabriquer
Freund,ami
richtig,corriger
Angst,craindre
Bist,Êtes-vous
Tut,Fait
Mit,Avec
viele,de nombreux
sieht,voir
Haus,une maison
tot,morte
sollen,devoir
ganze,ensemble
andere,autre
getan,a fait
okay,D'ACCORD
rein,pur
Diese,Cette
Moment,moment
bleiben,rester
brauchen,avoir besoin
Weil,car
Kinder,enfants
unter,en dessous de
Arbeit,travailler
Für,Pour
Problem,problème
dafür,Par conséquent
Herr,Monsieur
Haben,Avoir
wegen,car
geht's,Est-il possible
liebe,aimer
genug,suffisant
dabei,inclus
bringen,apporter
Ihre,Son
ne,ne
gegen,contre
Weißt,Blanc
Sag,dire
schnell,rapidement
nun,bien
eines,une
brauche,besoin
Abend,soirée
hatten,avais
Jahre,Années
Mach,"Faire, construire"
Bruder,Frères
Sache,Question
hören,Ecoutez
komm,viens
Sohn,Fils
seit,puisque
Morgen,Matin
drei,Trois
steht,des stands
Scheiße,et mince
mag,Comme
sei,être
unser,notre
konnte,pourrait
habt,ont
Oder,ou
einmal,une fois que
heißt,appelé
OK,D'ACCORD
Willst,Vouloir
Kopf,tête
Hilfe,Aider
Familie,famille
Geh,Marche
Baby,nourrisson
Dich,Tu
Sind,Sommes
erst,première
fertig,achevé
gefunden,trouvé
seid,sommes
kam,est venu
nehmen,prendre
morgen,Matin
sprechen,parler
Mir,Moi
sofort,immédiatement
Kann,Boîte
Hat,A
Jahren,Années
Kind,enfant
seinen,le sien
Genau,Exactement
daran,pour lui
Junge,Jeune
Minuten,Minute
bevor,avant de
Stadt,ville
beim,au
sterben,mourir
warst,êtres
Recht,Droit
glauben,croire
Warte,Attendre
darüber,à propos de ça
deiner,le tiens
deinem,le tiens
Ende,Fin
He,Hé
Dinge,des choses
Namen,Des noms
